
trade_time,RB1911,RB1912,RB2001,RB2002,RB2003,RB2004
2019-10-23 22:15:00,3487.0,3406.0,3326.0,3208.0,3195.0,3231.0
2019-10-23 22:20:00,3487.0,3406.0,3326.0,3208.0,3195.0,3231.0
2019-10-23 22:25:00,3487.0,3406.0,3329.0,3208.0,3195.0,3231.0
2019-10-23 22:30:00,3487.0,3406.0,3328.0,3206.0,3195.0,3231.0
2019-10-23 22:35:00,3487.0,3406.0,3327.0,3206.0,3195.0,3231.0
2019-10-23 22:40:00,3487.0,3406.0,3330.0,3208.0,3195.0,3231.0
2019-10-23 22:45:00,3487.0,3406.0,3334.0,3209.0,3200.0,3231.0
2019-10-23 22:50:00,3487.0,3434.0,3344.0,3212.0,3214.0,3231.0
2019-10-23 22:55:00,3500.0,3434.0,3347.0,3215.0,3215.0,3231.0
2019-10-23 23:00:00,3500.0,3434.0,3339.0,3218.0,3209.0,3231.0
2019-10-24 09:05:00,3487.0,3405.0,3295.0,3190.0,3174.0,3120.0
2019-10-24 09:10:00,3487.0,3405.0,3291.0,3190.0,3174.0,3120.0
2019-10-24 09:15:00,3487.0,3407.0,3293.0,3179.0,3174.0,3199.0
2019-10-24 09:20:00,3461.0,3407.0,3287.0,3182.0,3174.0,3202.0
2019-10-24 09:25:00,3461.0,3388.0,3290.0,3179.0,3174.0,3203.0
2019-10-24 09:30:00,3461.0,3388.0,3289.0,3179.0,3174.0,3203.0
2019-10-24 09:35:00,3461.0,3388.0,3292.0,3179.0,3174.0,3203.0
2019-10-24 09:40:00,3461.0,3388.0,3295.0,3179.0,3174.0,3218.0
2019-10-24 09:45:00,3461.0,3388.0,3297.0,3179.0,3174.0,3218.0
2019-10-24 09:50:00,3461.0,3388.0,3295.0,3179.0,3179.0,3207.0
2019-10-24 09:55:00,3461.0,3388.0,3295.0,3179.0,3179.0,3207.0
2019-10-24 10:00:00,3461.0,3388.0,3294.0,3179.0,3179.0,3208.0
2019-10-24 10:05:00,3461.0,3388.0,3293.0,3179.0,3179.0,3208.0
2019-10-24 10:10:00,3461.0,3388.0,3292.0,3179.0,3179.0,3208.0
2019-10-24 10:15:00,3461.0,3388.0,3294.0,3179.0,3179.0,3208.0
2019-10-24 10:35:00,3461.0,3401.0,3289.0,3179.0,3179.0,3208.0
2019-10-24 10:40:00,3461.0,3401.0,3291.0,3183.0,3179.0,3208.0
2019-10-24 10:45:00,3461.0,3401.0,3289.0,3182.0,3179.0,3208.0
2019-10-24 10:50:00,3461.0,3401.0,3294.0,3182.0,3178.0,3207.0
2019-10-24 10:55:00,3461.0,3401.0,3295.0,3182.0,3178.0,3207.0
2019-10-24 11:00:00,3461.0,3401.0,3306.0,3190.0,3178.0,3207.0
2019-10-24 11:05:00,3461.0,3401.0,3299.0,3188.0,3178.0,3207.0
2019-10-24 11:10:00,3461.0,3401.0,3296.0,3188.0,3178.0,3207.0
2019-10-24 11:15:00,3461.0,3401.0,3297.0,3188.0,3178.0,3207.0
2019-10-24 11:20:00,3461.0,3401.0,3302.0,3188.0,3178.0,3207.0
2019-10-24 11:25:00,3461.0,3401.0,3300.0,3188.0,3178.0,3207.0
2019-10-24 11:30:00,3457.0,3401.0,3303.0,3188.0,3178.0,3207.0
2019-10-24 13:35:00,3457.0,3401.0,3312.0,3190.0,3178.0,3207.0
2019-10-24 13:40:00,3457.0,3401.0,3311.0,3190.0,3178.0,3207.0
2019-10-24 13:45:00,3461.0,3401.0,3311.0,3190.0,3178.0,3207.0
2019-10-24 13:50:00,3461.0,3401.0,3312.0,3195.0,3186.0,3207.0
2019-10-24 13:55:00,3481.0,3401.0,3325.0,3200.0,3186.0,3207.0
2019-10-24 14:00:00,3481.0,3401.0,3320.0,3197.0,3186.0,3207.0
2019-10-24 14:05:00,3481.0,3401.0,3316.0,3197.0,3186.0,3207.0
2019-10-24 14:10:00,3481.0,3401.0,3316.0,3197.0,3186.0,3207.0
2019-10-24 14:15:00,3481.0,3412.0,3309.0,3195.0,3185.0,3207.0
2019-10-24 14:20:00,3481.0,3412.0,3308.0,3192.0,3173.0,3207.0
2019-10-24 14:25:00,3481.0,3412.0,3306.0,3192.0,3173.0,3207.0
2019-10-24 14:30:00,3481.0,3404.0,3307.0,3192.0,3173.0,3207.0
2019-10-24 14:35:00,3481.0,3404.0,3310.0,3192.0,3173.0,3207.0
2019-10-24 14:40:00,3481.0,3404.0,3314.0,3192.0,3185.0,3207.0
2019-10-24 14:45:00,3481.0,3404.0,3315.0,3194.0,3194.0,3207.0
2019-10-24 14:50:00,3481.0,3408.0,3311.0,3190.0,3194.0,3207.0
2019-10-24 14:55:00,3481.0,3417.0,3317.0,3197.0,3183.0,3207.0
2019-10-24 15:00:00,3481.0,3422.0,3318.0,3197.0,3183.0,3207.0
2019-10-24 21:00:00,3487.0,3412.0,3310.0,3187.0,3182.0,3216.0
2019-10-24 21:05:00,3487.0,3412.0,3306.0,3187.0,3182.0,3216.0
2019-10-24 21:10:00,3487.0,3412.0,3315.0,3193.0,3182.0,3216.0
2019-10-24 21:15:00,3487.0,3412.0,3313.0,3197.0,3182.0,3216.0
2019-10-24 21:20:00,3487.0,3412.0,3317.0,3197.0,3182.0,3216.0
2019-10-24 21:25:00,3487.0,3412.0,3312.0,3197.0,3182.0,3216.0
2019-10-24 21:30:00,3487.0,3412.0,3309.0,3195.0,3182.0,3216.0
2019-10-24 21:35:00,3487.0,3412.0,3310.0,3197.0,3182.0,3216.0
2019-10-24 21:40:00,3487.0,3405.0,3307.0,3197.0,3182.0,3216.0
2019-10-24 21:45:00,3487.0,3405.0,3309.0,3197.0,3182.0,3216.0
2019-10-24 21:50:00,3487.0,3405.0,3308.0,3197.0,3182.0,3216.0
2019-10-24 21:55:00,3487.0,3405.0,3303.0,3190.0,3182.0,3216.0
2019-10-24 22:00:00,3487.0,3405.0,3304.0,3190.0,3182.0,3216.0
2019-10-24 22:05:00,3487.0,3405.0,3304.0,3190.0,3182.0,3216.0
2019-10-24 22:10:00,3487.0,3405.0,3295.0,3185.0,3180.0,3216.0
2019-10-24 22:15:00,3487.0,3405.0,3296.0,3180.0,3180.0,3216.0
2019-10-24 22:20:00,3487.0,3405.0,3305.0,3180.0,3180.0,3216.0
2019-10-24 22:25:00,3487.0,3405.0,3304.0,3193.0,3180.0,3216.0
2019-10-24 22:30:00,3487.0,3405.0,3307.0,3196.0,3180.0,3216.0
2019-10-24 22:35:00,3487.0,3405.0,3308.0,3196.0,3180.0,3216.0
2019-10-24 22:40:00,3487.0,3405.0,3304.0,3190.0,3180.0,3216.0
2019-10-24 22:45:00,3487.0,3405.0,3303.0,3190.0,3178.0,3216.0
2019-10-24 22:50:00,3487.0,3405.0,3301.0,3190.0,3178.0,3216.0
2019-10-24 22:55:00,3487.0,3405.0,3303.0,3190.0,3174.0,3216.0
